Movie Run Time,Budget,Review Rating,Rating_E,Rating_NC-17,Rating_NOT RATED,Rating_PG,Rating_PG-13,Rating_R,Rating_TV-14,Rating_TV-MA,Rating_TV-PG,Rating_UNRATED,Rating_X, Action, Adult, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Country_Freq,Country_TE,Language_TE,Language_Freq,Release_EpochDays,Director_TE,Actor 1_TE,Actor 2_TE,Actor 3_TE
88.0,85000.0,3.9,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1532,5.019948526621876,4.947640601622803,1896,17255,5.085663627152989,5.085663627152989,5.085663627152989,5.085663627152989
98.0,500000.0,4.8,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,52,5.271625126646403,4.955247569046961,1896,15429,5.098125633232017,5.098125633232017,5.098125633232017,5.098125633232017
108.0,28000000.0,5.8,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1532,5.06074579886135,4.969399576696001,1896,16836,5.104255319148936,5.104255319148936,5.104255319148936,5.104255319148936
156.0,500000.0,7.5,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1532,5.019948526621876,5.542831813576495,15,16955,5.085663627152989,5.085663627152989,5.085663627152989,5.085663627152989
86.0,500000.0,4.8,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,155,4.95669968584403,4.955247569046961,1896,15656,5.098125633232017,5.098125633232017,5.098125633232017,5.098125633232017
118.0,500000.0,4.8,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1532,5.019948526621876,4.947640601622803,1896,17103,5.085663627152989,5.085663627152989,5.085663627152989,5.085663627152989
94.0,1000000.0,3.2,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,155,5.037536884609412,4.969399576696001,1896,15824,5.104255319148936,5.104255319148936,5.104255319148936,5.104255319148936
90.0,500000.0,7.8,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1532,5.019948526621876,5.164107820268137,40,17198,5.085663627152989,5.085663627152989,5.085663627152989,5.085663627152989
80.0,500000.0,2.7,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1532,5.0589238170286706,4.979100109543351,1896,15870,5.004422199695894,5.115306639635073,5.115306639635073,5.115306639635073
80.0,2000.0,6.5,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1532,5.019948526621876,4.947640601622803,1896,15741,5.085663627152989,5.085663627152989,5.085663627152989,5.085663627152989
99.0,500000.0,7.0,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,43,5.326571004453241,5.146424349881796,81,16591,5.104255319148936,5.104255319148936,5.049323017408124,5.104255319148936
82.0,550000.0,3.6,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1532,5.06259569406311,4.955247569046961,1896,16861,5.098125633232017,5.098125633232017,5.098125633232017,5.098125633232017
76.0,10000.0,6.1,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1532,5.019948526621876,4.947640601622803,1896,16130,5.250603297411808,5.085663627152989,5.085663627152989,5.085663627152989
88.0,500000.0,4.4,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1532,5.0589238170286706,4.979100109543351,1896,17358,5.115306639635073,5.115306639635073,5.115306639635073,5.115306639635073
85.0,500000.0,4.4,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1532,5.06074579886135,4.969399576696001,1896,16212,5.104255319148936,5.104255319148936,5.104255319148936,5.104255319148936
82.0,150000.0,6.4,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1532,5.06074579886135,4.969399576696001,1896,15884,5.104255319148936,5.19477756286267,5.104255319148936,5.104255319148936
